City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Port Macquarie,AU,78.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
598,Casian,PH,79.18,overcast clouds,11.035,119.7136,
600,Norsup,VU,83.28,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
616,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
620,Manta,EC,78.69,overcast clouds,-0.95,-80.7333,Balandra Hotel
623,Port Blair,IN,77.99,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
627,Ulladulla,AU,79.77,scattered clouds,-35.35,150.4667,Sandpiper Motel
629,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
635,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
637,Biak,ID,76.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
647,Saint-Georges,GD,78.51,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
648,Taganak,PH,77.38,overcast clouds,6.0833,118.3,Taganak
653,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
654,Sibolga,ID,75.52,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
662,Bajil,YE,77.13,clear sky,15.0584,43.2851,فندق حضرموت
663,Tomatlan,MX,83.41,overcast clouds,19.9333,-105.25,El Salvial
664,Sechura,PE,78.93,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
669,Wawa,NG,79.05,broken clouds,9.9022,4.4192,
670,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
672,Angoche,MZ,76.6,overcast clouds,-16.2325,39.9086,Guest House HESADA
676,Pizarro,CO,80.04,overcast clouds,4.9533,-77.366,Hotel Limonar
677,Vaitape,PF,80.56,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
