City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
649,Tanete,ID,-3.9443,119.7848,74.61,94,100,1.23,overcast clouds,2022-01-16 22:12:27
650,Zhoucheng,CN,35.9122,116.3117,30.67,63,5,3.71,clear sky,2022-01-16 22:13:27
651,Monroe,US,43.1501,-77.6831,29.71,40,75,11.5,broken clouds,2022-01-16 22:13:27
652,Bidhuna,IN,26.8022,79.5088,46.2,58,0,2.98,clear sky,2022-01-16 22:13:28
653,Kattivakkam,IN,13.2167,80.3167,81.07,83,98,9.62,overcast clouds,2022-01-16 22:13:28
654,Sibolga,ID,1.7427,98.7792,75.52,88,52,3.51,broken clouds,2022-01-16 22:13:28
655,Ciparay,ID,-7.4249,108.4742,74.77,95,40,1.79,scattered clouds,2022-01-16 22:13:28
656,Okhotsk,RU,59.3833,143.3,-12.42,80,1,9.6,clear sky,2022-01-16 22:13:29
657,Portland,US,45.5234,-122.6762,51.46,81,75,4.0,broken clouds,2022-01-16 22:13:09
658,Mindelo,CV,16.8901,-24.9804,72.95,60,20,6.91,few clouds,2022-01-16 22:13:29
659,Purpe,RU,64.4803,76.6897,12.15,94,100,16.13,overcast clouds,2022-01-16 22:13:29
660,Wuzhou,CN,23.4833,111.3167,53.64,78,100,4.23,overcast clouds,2022-01-16 22:13:30
661,Nakamura,JP,32.9833,132.9333,41.65,78,100,6.98,overcast clouds,2022-01-16 22:13:30
662,Bajil,YE,15.0584,43.2851,77.13,69,5,5.86,clear sky,2022-01-16 22:13:30
663,Tomatlan,MX,19.9333,-105.25,83.41,56,100,8.79,overcast clouds,2022-01-16 22:13:30
664,Sechura,PE,-5.5569,-80.8222,78.93,62,30,20.24,scattered clouds,2022-01-16 22:13:31
665,Anadyr,RU,64.75,177.4833,-19.7,76,0,6.71,clear sky,2022-01-16 22:13:31
666,Santiago,CL,-33.4569,-70.6483,74.28,47,75,9.22,broken clouds,2022-01-16 22:13:31
667,Kamaishi,JP,39.2667,141.8833,34.23,72,55,11.88,broken clouds,2022-01-16 22:13:31
668,Drinovci,BA,43.355,17.3539,36.82,52,6,2.37,clear sky,2022-01-16 22:13:32
669,Wawa,NG,9.9022,4.4192,79.05,18,80,5.75,broken clouds,2022-01-16 22:13:32
670,Banjar,ID,-8.19,114.9675,78.66,92,100,2.42,moderate rain,2022-01-16 22:13:32
671,Kon Tum,VN,14.35,108.0,57.83,95,37,2.98,scattered clouds,2022-01-16 22:13:33
672,Angoche,MZ,-16.2325,39.9086,76.6,89,100,5.3,overcast clouds,2022-01-16 22:13:33
673,Mlonggo,ID,-6.5333,110.7,72.52,88,100,7.34,overcast clouds,2022-01-16 22:13:33
674,Sibi,PK,29.5448,67.8764,62.89,46,100,1.68,overcast clouds,2022-01-16 22:13:33
675,Slonim,BY,53.0867,25.3219,30.27,96,100,13.71,snow,2022-01-16 22:13:34
676,Pizarro,CO,4.9533,-77.366,80.04,79,92,6.11,overcast clouds,2022-01-16 22:13:34
677,Vaitape,PF,-16.5167,-151.75,80.56,80,100,16.2,light rain,2022-01-16 22:13:34
678,Creel,MX,27.75,-107.6333,59.65,34,51,12.35,broken clouds,2022-01-16 22:13:35
